Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
08-Jul-25,Tuesday,July,Q3,2025,EQ,3405,3425,3393.4,3411.7,3406,3406.2,3407.01,4592.25,3056.05,2325242,178045
07-Jul-25,Monday,July,Q3,2025,EQ,3418.3,3426.1,3408.4,3419.8,3410.6,3411.7,3417.7,4592.25,3056.05,1639174,73810
04-Jul-25,Friday,July,Q3,2025,EQ,3408,3427,3390.1,3400.8,3420,3419.8,3413.91,4592.25,3056.05,1109320,87593
03-Jul-25,Thursday,July,Q3,2025,EQ,3430,3435.3,3397.6,3423.3,3400,3400.8,3414.55,4592.25,3056.05,2531870,131370
02-Jul-25,Wednesday,July,Q3,2025,EQ,3487.2,3489.9,3420,3429.7,3423.5,3423.3,3445.44,4592.25,3056.05,3090585,111947
01-Jul-25,Tuesday,July,Q3,2025,EQ,3455,3485,3413.5,3462,3430,3429.7,3439.04,4592.25,3056.05,2375183,125874
30-Jun-25,Monday,June,Q2,2025,EQ,3439.9,3464.9,3430,3441.1,3460,3462,3452.05,4592.25,3056.05,1468351,130938
27-Jun-25,Friday,June,Q2,2025,EQ,3455,3466.4,3431,3441.8,3445,3441.1,3445.16,4592.25,3056.05,1778433,122369
26-Jun-25,Thursday,June,Q2,2025,EQ,3444.8,3451.4,3415.3,3444.8,3443,3441.8,3437.7,4592.25,3056.05,2879106,143687
25-Jun-25,Wednesday,June,Q2,2025,EQ,3407.3,3450,3400,3390.4,3443,3444.8,3422.33,4592.25,3056.05,1757699,101280
24-Jun-25,Tuesday,June,Q2,2025,EQ,3434.6,3442.1,3382,3393.6,3392,3390.4,3408.47,4592.25,3056.05,3403048,178183
23-Jun-25,Monday,June,Q2,2025,EQ,3415,3425,3370,3435.7,3392,3393.6,3392.2,4592.25,3056.05,3123421,153401
